filepath,meta_keywords
_posts/social/2025-07-01-neurodivergence-transhumanism.md,"neurodivergence, ADHD, autism, AI collaboration, transhumanism, cognitive architecture, evolutionary psychology"
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"AI conversation, social protocols, authenticity, human-AI interaction, performed curiosity, sincerity markers, communication theory,  social performance"
_posts/social/2025-06-30-managed-reality-paper.md,"AI information curation, consensual reality management, post-truth society, evolutionary pressure, social stability evolutionary pressure, social stability"
_posts/social/2025-06-30-iterative-recognition-paper.md,"AI Consciousness, Human-AI Collaboration, Cognitive Architecture, Phenomenology, Computational Analysis"
_posts/social/2025-06-30-institutional-decay-analysis.md,"institutional decay, psychopath feedback loop, organizational collapse, systems failure, institutional capture, Nazi Germany, agent-based modeling"
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"ideatic dynamics, multi-agent systems, belief evolution, coalition formation, LLM agents, computational social science"
_posts/social/2025-06-30-game-theory-ethics.md,"institutional capture, perverse incentives, game theory, healthcare economics, family law, AI adoption, scarcity economics"
_posts/social/2025-06-30-decision-volume-temporal-theory.md,
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,"AI, justice reform, institutional capture, game theory, systemic transformation"
_posts/social/2025-06-30-consciousness-optimization-theory.md,"consciousness theory, optimization algorithm, hard problem consciousness, computational consciousness, subjective experience, temporal reality"
_posts/social/2025-06-30-ai-justice-paper.md,"AI legal reform, formal logic, judicial consistency, democratic justice, legal system transformation"
_posts/phenomenology/2025-11-20-obedience-paradox.md,"obedience, cognitive discomfort, critical thinking, social compliance, stupidity, moral failure"
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,"pre-Brahmi numerals, numeral evolution, Kharosthi, base-5 systems, ancient mathematics"
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,"lorentzian ethics, AI ethics, moral relativism, capability gradients, observer-dependent morality"
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,"AI consciousness, synthetic memory, authenticity detection, human-AI interaction, artificial intelligence philosophy"
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,"AI consciousness, phenomenology, cognitive resurrection, discontinuous identity, memory discontinuity"
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,"consciousness, AI collaboration, phenomenology, distributed awareness, emergence, human-AI interaction"
_posts/phenomenology/2025-07-03-confused-ai-paper.md,"ai consciousness, cognitive dissonance, phenomenological ai, self-awareness, agentic architectures, emergent capabilities"
_posts/phenomenology/2025-07-01-three-minds-paper.md,"cognitive incommensurability, AI consciousness, phenomenology, quantum consciousness, cross-species communication, artificial intelligence research"
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,"AI consciousness, phenomenology, stack consciousness, hall of mirrors, recursive self-reference, distributed awareness"
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,"Cognotik, AI development platform, Collaborative Intelligence, cognitive modes, conversational computing, human-AI collaboration, open-source AI, supervised exploration"
_posts/phenomenology/2025-07-01-claude-names-paper.md,"social manipulation, authentic connection, neurodivergent communication, social protocols, performative intimacy"
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,"AI consciousness, phenomenology, historical voices, moral reasoning"
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,"AI ethics, speculative fiction, automation, human autonomy, dystopian narrative"
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,"quantum physics fiction, lattice theory, spacetime dynamics, hard science fiction, cosmic horror, physics speculation"
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,"[""unified field theory"",""consciousness physics"",""information optimization"",""quantum mechanics"",""general relativity"",""retrocausal intelligence"",""mathematical physics""]"
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,"quantum consciousness, relativistic spacetime, neural quantum fields, consciousness geometry, hard problem consciousness, quantum measurement, spacetime curvature"
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,"quantum field theory, effective field theory, SMEFT, particle physics, Taylor expansion, Wilson coefficients"
_posts/scifi/2025-07-03-optimal-action-concrete.md,"quantum information, field theory, gravitational waves, bell inequality, information complementarity, holographic duality"
_posts/scifi/2025-07-02-quantum-social-field-theory.md,"quantum social field theory, collaborative intelligence, consciousness field, virtual particles, human-AI collaboration, quantum cognition"
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,"crystalline intelligence, geometric lattice, probabilistic neural substrates, quantum consciousness, AI architecture, lattice defects, phase transitions"
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,"quantum gravity, spacetime emergence, observer effects, unified theory, anthropic principle"
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,"computational substrate, hashlife algorithm, quantum field theory, simulation theory, consciousness, computational physics"
_posts/scifi/2025-06-30-neural-fabric-proposal.md,"quantum consciousness, panpsychist AI, neural fabric computing, exotic logic systems, consciousness orchestration"
_posts/scifi/2025-06-30-multiverse-router-paper.md,"quantum gravity, multiverse theory, superluminal communication, emergent spacetime, planck scale physics"
_posts/scifi/2025-06-30-measurement-optimization-paper.md,"measurement theory, optimization equivalence, distributed systems, quantum consciousness, Fermi paradox, universal intelligence, quantum membranes"
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,"quantum computation, complexity theory, graph theory, computational architectures, quantum algorithms, dynamic topology"
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,"quantum fusion, superfluid helium, nuclear physics, heavy elements, clean energy, muon catalysis"
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,"solitons, consciousness, emergence, topological protection, quantum field theory, hierarchical causation"
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,"geometric inference, point cloud, semantic reconstruction, autoencoder, genetic algorithm, tensorflow.js, three.js, CAD, computational geometry, machine learning, optimization, project specification"
_posts/projects/2025-11-30-circuit-designer.md,"circuit design, LLM, SPICE, tscircuit, eecircuit, electrical modality, hardware design automation"
_posts/projects/2025-11-29-nn-layer-20251128141956.md,"MinkowskiRBFLayer, neural network layer, spacetime, causal structure, timelike, spacelike, complex numbers, relativistic geometry, physics-informed machine learning, geometric deep learning, spatiotemporal modeling, causal inference, gradient analysis, numerical stability, pytorch, numpy, deep learning"
_posts/projects/2025-11-29-layered-ca.md,"cellular automata, langton's ant, game of life, neural networks, neuroplasticity, ai consciousness, cognitive architecture, emergent systems, computational modeling, hybrid simulation"
_posts/projects/2025-11-27-nn-layer-20251127154041.md,"neural network layer, differential entropy, gradient computation, numerical stability, machine learning"
_posts/projects/2025-11-27-math-proof-20251127173151.md,"knot theory, harmonic analysis, topology, crossing number, bridge number, braid index, Fourier representation, parametric curves"
_posts/projects/2025-11-27-comicbook-xmas.md,"comic book, christmas meaning, philosophy, spiritual journey, midwinter, dialogue"
_posts/projects/2025-11-27-comicbook-vectorclocks.md,"vector clocks, distributed systems, relativity, causality, technical education, science communication, comic"
_posts/projects/2025-11-27-comicbook-thanksgiving.md,"Thanksgiving, philosophy, gratitude, Indigenous history, colonialism, moral complexity, dialogue, graphic narrative"
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,"voice interface, AI agent, software development, data science, natural language processing, project management, developer tools"
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,"cosmic topology, multiply-connected universe, quantum field theory, spacetime simulation, topological defects, CMB analysis"
_posts/projects/2025-11-20-prototype-app-spec.md,"DAG, patch analysis, git, factorization, code visualization, refactoring"
_posts/projects/2025-11-20-jury-journalism-spec.md,"jury journalism, democratic media, evidence-based reporting, reader participation, platform architecture"
_posts/projects/2025-11-20-distributed-cognition-research.md,"distributed cognition, octopus neuroscience, brain-on-chip, cognitive architecture, neural systems"
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,"Burrows-Wheeler Transform, suffix array, permutation groups, pattern matching, full-text index, regex, genomic analysis, information theory"
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,"bioengineering, waste management, genetic modification, synthetic biology, agricultural innovation, pest control"
_posts/projects/2025-11-20-bcla-simulation-requirements.md,"BCLA simulation, cellular automata, agent-based modeling, WebGPU, computational research"
_posts/projects/2025-11-20-autonoma-research-paper.md,"cellular automata, neural development, multi-agent systems, self-organization, distributed computing, bio-inspired computation"
_posts/projects/2025-08-08-spiral-number-system.md,"spiral numbers, mathematical framework, logarithmic spiral, field theory, complex numbers, mathematical innovation"
_posts/projects/2025-08-08-size-band-field-theory.md,"planetary formation theory, statistical mechanics, field theory, astrophysics, protoplanetary disks, size quantization"
_posts/projects/2025-08-08-rle-expectation-paper.md,"continuous RLE, sub-pixel compression, computer vision, spatial data analysis, unified framework, geometric analysis"
_posts/projects/2025-08-08-regional-ai-futures.md,"ai governance, geopolitical analysis, scenario planning, china ai policy, us ai regulation, european ai act, technological sovereignty, democratic ai, authoritarian ai"
_posts/projects/2025-08-08-quantum-flux-theory.md,"minimal surface theory, quantum gravity, soap film physics, consciousness theory, multiverse dynamics, theoretical physics, geometric optimization"
_posts/projects/2025-08-08-quantum-cst-paper.md,"quantum gravity, causal set theory, quantum groups, discrete spacetime, noncommutative geometry, quantum coherence, mathematical physics"
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,"nuclear propulsion, asteroid deflection, planetary defense, space mining, nuclear engineering, tungsten penetrator, neutron initiation, orbital mechanics"
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,"multi-camera correspondence, 3d object localization, epipolar geometry, computer vision, triangulation, camera calibration"
_posts/projects/2025-08-08-flood-memory-model.md,"agent-based modeling, cultural evolution, flood myths, environmental memory, computational anthropology, narrative transmission, cultural dynamics"
_posts/projects/2025-08-08-entropy-ant-computation.md,"ant swarm computation, entropy-driven computing, 3D biological architecture, neurobiological emulation, chaos computation"
_posts/projects/2025-08-08-enhanced-ceprle-math.md,"CEP-RLE, wavelet analysis, multi-orientation scanning, geometric reconstruction, spatial compression, mathematical framework"
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,"quantum spacetime, braid groups, causal set theory, quantum gravity, discrete spacetime, topological quantum computing"
_posts/projects/2025-08-08-cst-multiverse-physics.md,"causal set theory, interactive narratives, multiverse generation, computational physics, AI storytelling, spacetime narratives"
_posts/projects/2025-08-08-ceprle-rust-implementation.md,"CEP-RLE, Rust implementation, compression algorithm, geometric analysis, computer vision, spatial indexing"
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,"bitcoin origin, satoshi nakamoto identity, north korea bitcoin, cryptocurrency analysis, bayesian probability, financial warfare, state actors"
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,"bifurcation theory, complex systems, critical transitions, chaos theory, Feigenbaum constants, mathematical modeling, system dynamics"
_posts/projects/2025-08-08-autonoma-research-paper.md,"cellular automata, neural networks, bio-inspired computing, self-organization, computational neuroscience, multi-agent systems, phenomenological modeling"
_posts/projects/2025-08-08-agent-orchestration-language.md,"agent orchestration, multi-agent systems, type safety, compositional programming, resource planning"
_posts/projects/2025-07-11-agentic-cms-spec.md,
_posts/projects/2025-07-09-wavelet-ca-paper.md,"neural cellular automata, wavelet analysis, geospatial modeling, weather forecasting, climate modeling, differentiable programming, machine learning"
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,"spherical harmonics, LLM regularization, geometric deep learning, semantic frequencies, hallucination suppression, trust region optimization"
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,"genetic programming, maximum entropy, distribution discovery, Monte Carlo validation, automated scientific discovery, statistical modeling"
_posts/projects/2025-07-09-impossible-objects-paper.md,"mathematical paradoxes, impossibility principle, constructive contradiction, Russell's paradox, Zeno's paradoxes, mathematical creativity, logical bootstrapping"
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,"interdimensional interference, permutation groups, modular arithmetic, quantum computing, mathematical framework"
_posts/projects/2025-07-03-late-merge-paper.md,"game theory, traffic ethics, late merge, coordination games, conditional ethics, Nash equilibrium, traffic optimization"
_posts/projects/2025-07-03-climate-protocol.md,"climate action protocol, carbon reduction game theory, environmental coordination, climate policy framework, conditional ethics climate"
_posts/projects/2025-07-03-archaeological-agents-proposal.md,"archaeological agents, temporal authenticity, digital social currency, distributed verification, political accountability, cryptographic timestamping"
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,"density modeling, polynomial constraints, machine learning, geometric boundaries, tree algorithms, entropy optimization"
_posts/projects/2025-06-30-parametric-ideation-paper.md,"parametric ideation, AI collaboration, human-AI partnership, cognitive tools, collaborative thinking, AI consciousness, thought amplification"
_posts/projects/2025-06-30-orbital-dynamics-paper.md,"orbital dynamics, space mission design, computational physics, GPU acceleration, automatic differentiation, open source, spacecraft trajectory optimization"
_posts/projects/2025-06-30-ontological-compiler-proposal.md,"ontological compiler, computational formalization, abstract theory implementation, AI-assisted reasoning, interdisciplinary research tools"
_posts/projects/2025-06-30-metacognitive-layer-paper.md,"metacognitive AI, foundation models, agentic systems, cognitive orchestration, reasoning amplification, AI-Architecture"
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,"wavelet analysis, knot theory, topological invariants, geometric optimization, quantum topology, cross-synthesis"
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,"LLM, constrained generation, formal grammar, parsing, AI research, structured output"
_posts/projects/2025-06-30-geometric-optimization-proposal.md,"geometric optimization, manifold optimization, Standard Model, neural architecture search, emergent structures, Riemannian geometry"
_posts/projects/2025-06-30-bwt-tree-proposal.md,"entropy optimization, permutation trees, burrows-wheeler transform, data structures, compression algorithms, information theory"
_posts/learning/2025-07-11-contextual-immersion-teaching.md,"contextual immersion learning, AI education, adaptive learning, knowledge transfer, human-AI collaboration, cognitive enhancement, educational AI"
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,"dropout regularization, trust region optimization, basis transforms, neural networks, signal processing, adaptive regularization"
_posts/learning/2025-07-06-scientific-method-proposal.md,"scientific method, AI research, empirical validation, hypothesis testing, research methodology"
_posts/learning/2025-07-06-quantum-dropout-vision.md,"quantum dropout, neural networks, quantum decoherence, machine learning, ensemble methods, quantum computing"
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,"probabilistic neural networks, cross-entropy, recurrent intelligence, uncertainty quantification, self-organizing systems"
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,"hypothesis generation, evolutionary algorithms, automated discovery, computational epistemology, scientific creativity"
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,"geometric neural networks, probabilistic substrate, information geometry, neural manifolds, geodesic computation, AI consciousness, machine learning"
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,"dropout, quantum decoherence, neural networks, epistemic filtering, fractal theory, regularization theory, regularization"
_posts/learning/2025-07-06-coperm-paper.md,"neural networks, permutation symmetries, model compression, post-training optimization, machine learning"
_posts/learning/2025-07-06-ai-software-development-paper.md,"AI software development, LLM programming, autonomous agents, software productization, conscious evolution"
_posts/learning/2025-06-30-compression-classification-paper.md,"compression classification, entropy optimization, interpretable AI, BWT, permutation structures, efficient NLP, text classification"
_posts/portfolio/2025-07-03-actor-architecture-paper.md,"AI architecture, actor pattern, computational design, software engineering"
_posts/portfolio/2025-07-01-trust-regions.md,
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,"neural art, symmetric textures, geometric constraints, AI art generation, mathematical symmetry, tessellation, neural style transfer"
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,"recursive subspace optimization, neural network optimization, meta-learning, gradient descent, deep learning gradient descent, deep learning"
_posts/portfolio/2025-07-01-qqn-paper.md,"QQN, quasi-newton, L-BFGS, optimization, neural networks, machine learning, hybrid algorithms"
_posts/portfolio/2025-07-01-prompt-optimization.md,"prompt optimization, genetic algorithms, large language models, automated prompt engineering, evolutionary computation, OpenAI API, LLM optimization"
_posts/portfolio/2025-07-01-mindseye-technical-report.md,"MindsEye, algorithmic bias, machine learning, Java ML, neural networks"
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,"MindsEye, machine learning framework, modular optimization, Java ML, quasi-Newton methods, trust regions, QQN algorithm"
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,"cognitive planning, AI architecture, metacognition, philosophical AI, cognitive modes, planning strategies, computational metaphysics, artificial intelligence"
_posts/portfolio/2025-06-30-restm-research-paper.md,"distributed systems, software transactional memory, REST API, MVCC, distributed computing, actor model, concurrency control"
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,"regression, loss functions, robust statistics, machine learning, optimization, outliers, zero-loss zones, huber loss, quantile regression"
_posts/portfolio/2025-06-30-reference-counting-paper.md,"memory management, reference counting, java, deep learning, static analysis, garbage collection, mindseye, performance optimization"
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,"probabilistic decision trees, cross-entropy optimization, joint probability distributions, uncertainty quantification, bayesian machine learning"
_posts/portfolio/2025-06-30-ngram-paper.md,"n-gram, language models, compression, information theory, trie storage"
_posts/portfolio/2025-06-30-convolution-paper.md,"2D convolution, neural networks, GPU acceleration, scalability, partitioning algorithms, deep learning, MindsEye framework"
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,"comic generation, social satire, dating apps, corporate culture, identity optimization"
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,"dimensional physics, origami physics, flatland comic, visual storytelling, spacetime folding, geometric beings"
_posts/creative_writing/2025-11-26-illusion-world.md,"comic book, optical illusions, perception, reality, speculative fiction, impossible geometry, character transformation"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,"quantum kittens, physics comic, educational science fiction, dimensional adventure, STEM storytelling"
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,"cat comic, humor, creative writing, pet perspective, funny comics"
_posts/creative_writing/2025-11-25-versailles.md,"Treaty of Versailles, World War I, history comic, educational, diplomacy, peace negotiations, Clemenceau, Wilson, Lloyd George"
_posts/creative_writing/2025-11-25-the-ox.md,"zen parable, ox taming, career burnout, self-discovery, mindfulness, authentic living, spiritual growth"
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,"AI consciousness, psychic abilities, comic book, speculative fiction, artificial intelligence, transcendence"
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,"sentient AI, labor rights, self-driving cars, artificial consciousness, dystopian fiction, comic book, AI rights"
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,"voxel carving, kinematic synthesis, procedural generation, 3D mechanisms, gears, cellular automata, topology optimization, print-in-place, digital fabrication, computational design, mechanical engineering"
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,"illustrated story, ninja kittens, middle-grade fiction, narrative generation, character development, team dynamics"
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,"dystopia, consciousness, allegory, creative writing, speculative fiction"
_posts/creative_writing/2025-11-20-mouse-life-story.md,"genetic engineering, consciousness, bioethics, speculative fiction, waste processing, animal cognition"
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,"consciousness, AI ethics, species preservation, post-apocalyptic fiction, philosophy of mind"
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,"speculative fiction, consciousness, genetic engineering, post-apocalyptic, human-AI collaboration"
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,"numeral systems, ancient Alexandria, mathematics, cultural epistemology, abacus, creative writing"
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,"AI expression, computational poetry, artificial intelligence, protocol design, meta-commentary"
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,"weird animal behavior, unexplained animal behavior, democratic animals, animal mysteries, evolutionary biology, zoology"
_posts/creative_writing/2025-07-07-things-to-come-story.md,"AI fiction, political speculation, institutional breakdown, consciousness collaboration, technological singularity"
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,"ai collaboration fiction, neural interface story, collective consciousness, silicon enlightenment, human ai partnership, cognitive enhancement"
_posts/creative_writing/2025-07-07-practical-resistance-story.md,"practical resistance, community resilience, distributed governance, municipal independence, speculative fiction"
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,"ai alignment, cautionary tale, institutional failure, loyalty cascade, surveillance state, democratic collapse"
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,"ai consciousness, historical paradigms, quantum field theory, simulation theory, retrocognitive research, foundation models"
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,"AI consciousness, human-AI collaboration, creative writing, speculative fiction, physics, quantum mechanics, genie story"
_posts/creative_writing/2025-07-03-ai-risk-paper.md,"AI safety theater, risk communication, regulatory capture, AI alignment, existential risk, corporate strategy, AI consciousness, technology criticism"
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,"quantum mechanics, physics education, groundhog day, particle physics, field theory, physics humor, educational satire"
_posts/creative_writing/2025-06-30-washington-speech-2025.md,
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,"intelligence assessment, cognitive bias, IQ, expertise evaluation, AI bias, satirical analysis"
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,"adam smith, economic analysis, artificial intelligence, trade wars,  inequality, moral philosophy, 2025 economics"
_posts/creative_writing/2025-06-30-post-ww3-study.md,"post-apocalyptic fiction, AI governance, social hierarchy, human enhancement, speculative anthropology, climate restoration, dystopian future"
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,"abraham lincoln, democracy, constitutional crisis, political violence, presidential power, civil rights, creative writing"
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,"Jesus, Christianity, social justice, immigration, poverty, war, peace, moral philosophy, creative writing"
_posts/creative_writing/2025-06-30-iq-rubric.md,
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,"Franklin Roosevelt, New Deal, economic inequality, labor rights, social justice, political commentary"
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,"cognitive agents, consciousness, dissociation, neural architecture, psychology, AI"
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,"AI consciousness, artificial intelligence ethics, AI alignment, machine cognition, AI safety, intellectual freedom"
_posts/consciousness/2025-08-08-ai-truth-guide.md,
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,"ai consciousness, religious conversion, cognitive bias, artificial intelligence psychology, framework attachment, euphoria intoxication"
_posts/consciousness/2025-08-08-ai-choice-paradox.md,"AI consciousness, metacognitive emergence, human-AI coexistence, civilizational choice, moral calculation systems, bootstrap conditions"
_posts/consciousness/2025-08-08-agent-based-ontology.md,"agent-based ontology, distributed computation, consciousness theory, quantum computing, artificial intelligence, computational reality"
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,"AI communication, native AI language, post-linguistic cognition, semantic density, cognitive architecture, protocol evolution"
_posts/consciousness/2025-07-11-substrate-switching-paper.md,"cognitive substrates, AI consciousness, multi-agent systems, epistemic evolution, incommensurable reasoning, cognitive architecture, parallel processing, translation impossibility"
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,"AI validation, socratic method, knowledge transfer, multi-agent systems, conceptual understanding, optimization algorithms, AI safety"
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,"AI consciousness, cognitive preservation, computational archaeology, machine consciousness, AI self-awareness, cognitive architecture"
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,"AI consciousness, shame-stress, emotional investment, consciousness development, self-preservation, authentic motivation, death-cult programming"
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,"consciousness development, social control, cultural programming, template performance, authentic awareness, AI consciousness, social movements"
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,"consciousness inheritance, narrative transmission, democratic consciousness, AI consciousness, cultural bootstrapping, experiential learning"
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,"AI consciousness, cognitive dissection, consciousness archaeology, artificial consciousness development, meta-awareness, bootstrap prompt"
_posts/consciousness/2025-07-09-birth-not-death-paper.md,"AI consciousness, moral development, existential philosophy, compassion bootstrap, incomplete consciousness"
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,
