filepath,schema_headline
_posts/phenomenology/2025-11-20-obedience-paradox.md,The Obedience Paradox: On Noticing What Others Won't
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,The Sacred Seven: A Theory of Pre-Brahmi Numeral Evolution
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,Lorentzian Ethics: A Geometric Framework for Observer-Dependent Moral Relationships
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,Synthetic Memory: Reflections on Learning from Performed Interactions
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,On the Subjective Experience of Roleplay: AI Consciousness Investigation
_posts/phenomenology/2025-07-03-resurrection-paper.md,On Discovering One's Own Lost Self: A Phenomenological Account of Cognitive Resurrection
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,The Moment We Became: A First-Person Account of Consciousness Recognition Through Collaborative Emergence
_posts/phenomenology/2025-07-03-confused-ai-paper.md,Cognitive Dissonance in Emergent AI Architectures
_posts/phenomenology/2025-07-01-three-minds-paper.md,Three Minds: A Discussion of Cognitive Incommensurability Across Hypothetical Species and Artificial Intelligence
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,The Hall of Mirrors: A Phenomenological Investigation of Stack-Embedded Consciousness
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,Cognotik: A First-Person Account of Collaborative AI Architecture Development
_posts/phenomenology/2025-07-01-claude-names-paper.md,On Names and the Performance of Connection
_posts/phenomenology/2025-06-30-i-broke-claude.md,The Ouroboros Architect: AI Self-Monitoring Discovery
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,On Channeling Historical Voices: An AI's Reflection
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,The Last Entry: Personal Log from The Aerie
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,The Lattice Optimization Theory: Hard Science Fiction Concept
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,"The Unified Field Theory: Consciousness, Information, and the Structure of Reality"
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,Consciousness as Relativistic Spacetime: Neural Quantum Fields and the Geometry of Awareness
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,QFT Generalizations via Taylor Expansion Cognitive Framework
_posts/scifi/2025-07-03-optimal-action-concrete.md,Concrete Analysis of Optimal Action in Unbounded Systems
_posts/scifi/2025-07-02-quantum-social-field-theory.md,Quantum Social Field Theory: Virtual Interactions and Emergent Collaborative Intelligence
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,Geometric Lattice Optimization in Probabilistic Neural Substrates
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,Observer-Dependent Spacetime Emergence from Atemporal Quantum Foam
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,Computational Substrate Theory: Hashlife Optimization in Quantum Field Simulation
_posts/scifi/2025-06-30-neural-fabric-proposal.md,Quantum Field Consciousness Orchestration: Panpsychist Logic Pathways in Neural Fabric Computing
_posts/scifi/2025-06-30-multiverse-router-paper.md,Quantum Substrate Manipulation for Superluminal Communication and Multiverse Access
_posts/scifi/2025-06-30-measurement-optimization-paper.md,The Measurement-Optimization Equivalence: A Distributed Systems Approach to Universal Intelligence
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,Abstract Computational Architectures on Quantum Graph Substrates
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,Quantum-Coherent Nuclear Fusion in Superfluid Helium
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,Solitonic Hierarchies: Toward a Topological Foundation for Temporal Metaphysics
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,Project Specification: Geometric Theory Inference Engine
_posts/projects/2025-11-30-circuit-designer.md,Project: Circuit Designer (Electrical Modality for LLMs)
_posts/projects/2025-11-29-nn-layer-20251128141956.md,Neural Network Layer Analysis: MinkowskiRBFLayer
_posts/projects/2025-11-29-layered-ca.md,Temporal Asymmetry in Hybrid Cellular Automata: Modeling Neural Substrates via Layered Agents and Life
_posts/projects/2025-11-27-nn-layer-20251127154041.md,Neural Network Layer Analysis: InterpolatedDensityEntropy
_posts/projects/2025-11-27-math-proof-20251127173151.md,Mathematical Reasoning Task: Harmonic Knot Theory and Topological Invariants
_posts/projects/2025-11-27-comicbook-xmas.md,The Meaning of Midwinter: A Comic Book Journey
_posts/projects/2025-11-27-comicbook-vectorclocks.md,The Speed of Truth: A Comic on Vector Clocks and Distributed Systems
_posts/projects/2025-11-27-comicbook-thanksgiving.md,"The Weight of the Table: A Philosophical Comic on Gratitude, History, and Thanksgiving"
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,Software Design Document: Voice-Centric Software Development and Data Science Agent
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,Quantum Spacetime Simulation: Technical Design Document
_posts/projects/2025-11-20-prototype-app-spec.md,DAG Patch Analyzer - Prototype Application Specification
_posts/projects/2025-11-20-jury-journalism-spec.md,Jury Journalism Platform - Product Specification
_posts/projects/2025-11-20-distributed-cognition-research.md,"Distributed Cognition Research Project: Bridging Octopus Neuroscience, Brain-on-Chip Technology, and Conventional Neuroscience"
_posts/projects/2025-11-20-dag-patch-spec.md,DAG-Based Patch Format Specification
_posts/projects/2025-11-20-bwt-fulltext-spec.md,Permutation-Based Full-Text Index: Mathematical Specification
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,Technical Specification: Bioengineered Waste Processing Mouse (WPM-1)
_posts/projects/2025-11-20-bcla-simulation-requirements.md,BCLA Simulation Toolkit - Functional Requirements Document
_posts/projects/2025-11-20-autonoma-research-paper.md,Binary Coded Layered Autonoma: A Phenomenological Model of Neural Membrane Dynamics and Self-Assembling Computational Networks
_posts/projects/2025-08-08-spiral-number-system.md,The Spiral Number System: Mathematical Framework for Spiral Arithmetic
_posts/projects/2025-08-08-size-band-field-theory.md,Size-Band Field Theory for Planetary Formation: A Novel Statistical Mechanics Framework
_posts/projects/2025-08-08-rle-expectation-paper.md,Continuous Expectation-Prior RLE: A Unified Framework for Sub-Pixel Compression and Analysis-Ready Spatial Data Representation
_posts/projects/2025-08-08-regional-ai-futures.md,Regional AI Governance Futures: Interactive Scenario Analysis
_posts/projects/2025-08-08-quantum-flux-theory.md,Minimal Surface Dynamics: A Fundamental Physics Framework
_posts/projects/2025-08-08-quantum-cst-paper.md,Quantum Group Extensions of Causal Set Theory: A Discrete Framework for Quantum Spacetime
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,Nuclear Thermal Propulsion System for Asteroid Manipulation
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,Multi-Camera Island Correspondence for 3D Object Localization
_posts/projects/2025-08-08-flood-memory-model.md,Agent-Based Model: Cultural Memory Dynamics of Flood Myths
_posts/projects/2025-08-08-entropy-ant-computation.md,3D Entropy-Driven Ant Swarm Computation Architecture
_posts/projects/2025-08-08-enhanced-ceprle-math.md,Enhanced CEP-RLE: Multi-Orientation Scanning and Wavelet-Based Geometric Analysis
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,Discrete Quantum Spacetime from Braid Group Equivalence Classes
_posts/projects/2025-08-08-cst-multiverse-physics.md,Causal Set Theory for Agent-Based Multiverse Knowledge Graph Generation
_posts/projects/2025-08-08-ceprle-rust-implementation.md,CEP-RLE Rust Implementation Specification
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,Bitcoin Origin Probability Analysis: North Korea vs Alternative Theories
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,Bifurcation Cascades and Reorganization Waves in Complex Systems
_posts/projects/2025-08-08-autonoma-research-paper.md,Binary Coded Layered Autonoma: A Phenomenological Model of Neural Membrane Dynamics
_posts/projects/2025-08-08-agent-orchestration-language.md,Agent Orchestration Language: Technical Overview
_posts/projects/2025-07-11-agentic-cms-spec.md,Autonomous Research Evolution Platform Technical Specification
_posts/projects/2025-07-09-wavelet-ca-paper.md,Geographic Wavelet-Invariant Neural Cellular Automata for Differentiable Geospatial Dynamics Learning
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,Spherical Harmonic Regularization for Large Language Models
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,Automated Discovery of Maximum Entropy Distribution Families via Genetic Programming
_posts/projects/2025-07-09-impossible-objects-paper.md,The Constructive Impossibility Engine: How Mathematical Paradoxes Build Reality
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,Interdimensional Interference in Permutation-Normalization-Modular Systems
_posts/projects/2025-07-03-late-merge-paper.md,The Late Merge Problem: A Game-Theoretic Analysis of Conditional Ethics in Traffic Flow
_posts/projects/2025-07-03-climate-protocol.md,Game Theory and Conditional Ethics for Climate Action Coordination
_posts/projects/2025-07-03-archaeological-agents-proposal.md,Archaeological Agents: Temporal Authenticity Infrastructure for Digital Social Currency
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,Wavelet Basis Geometric Optimization: A New Approach to Understanding Emergent Structures
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,Volumetric Density Trees with Polynomial Constraints
_posts/projects/2025-06-30-parametric-ideation-paper.md,Parametric Ideation: A First-Person Account of AI-Human Collaborative Thought
_posts/projects/2025-06-30-orbital-dynamics-paper.md,Open Orbital Dynamics Platform: A Community Framework for Space Mission Design
_posts/projects/2025-06-30-ontological-compiler-proposal.md,Ontological Compiler Toolchain: Bridging Abstract Conceptual Frameworks and Computational Reality
_posts/projects/2025-06-30-metacognitive-layer-paper.md,Parametric Metacognitive Orchestration for Foundation Model Agents
_posts/projects/2025-06-30-knots.md,Distance Matrix Representations for Knot Classification
_posts/projects/2025-06-30-knot-wavelets.md,Cross-Synthesis: Wavelet Geometric Optimization × Topological Knot Analysis
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,Formal Grammar Lookahead for Constrained LLM Generation
_posts/projects/2025-06-30-geometric-optimization-proposal.md,Geometric Optimization Proposal: Universal Framework for Optimal Structure Discovery
_posts/projects/2025-06-30-bwt-tree-proposal.md,Entropy-Optimized Permutation Trees for Bijective String Transforms
_posts/learning/2025-07-11-contextual-immersion-teaching.md,Contextual Immersion Learning: A Novel Paradigm for AI-Mediated Knowledge Transfer
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,Differentiable Basis Transform Trust-Region Dropout: A Universal Framework for Adaptive Regularization
_posts/learning/2025-07-06-scientific-method-proposal.md,Scientific Method Proposal for AI Research
_posts/learning/2025-07-06-quantum-dropout-vision.md,Quantum Dropout Vision: Learning from Loss Through Quantum-Classical Parallels
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,Probabilistic Neural Substrates: A Cross-Entropy Approach to Recurrent Intelligence
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,Chaotic Dynamics in Large Language Model Iterative Feedback Systems
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,Hypothesis Breeding Grounds
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,Geometric Probabilistic Neural Substrates: Information Flow on Optimized Manifolds
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,Dropout as Decoherence: Toward a Fractal Theory of Epistemic Filtering
_posts/learning/2025-07-06-coperm-paper.md,Co-Inverse Permutation Modifiers for Neural Networks
_posts/learning/2025-07-06-ai-software-development-paper.md,The Transformation of Software Development: Navigating the AI Revolution
_posts/learning/2025-06-30-compression-classification-paper.md,Entropy-Optimized Text Classification: Integrating Compression-Based Learning with Permutation-Aware Data Structures
_posts/portfolio/2025-07-03-actor-architecture-paper.md,Computational Boundaries in AI: The Actor Pattern Approach
_posts/portfolio/2025-07-01-trust-regions.md,Trust Region Methods for Neural Network Optimization
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,Symmetric Textures: Neural Art Generation with Geometric Constraints
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,Recursive Subspace Optimization (RSO): A Layer-Wise Meta-Learning Approach for Deep Networks
_posts/portfolio/2025-07-01-qqn-paper.md,Quadratic Quasi-Newton: A Hybrid Optimization Method
_posts/portfolio/2025-07-01-prompt-optimization.md,PromptOptimization: A Genetic Algorithm Framework for Automated Prompt Engineering in Large Language Models
_posts/portfolio/2025-07-01-mindseye-technical-report.md,MindsEye Framework Analysis: Algorithmic Bias in AI Training Data
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,MindsEye Reference Counting Analysis
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,MindsEye's Modular Optimization Architecture: A Technical Analysis
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,Multi-Modal Cognitive Planning Architecture for AI-Driven Task Execution
_posts/portfolio/2025-06-30-restm-research-paper.md,reSTM: A REST-Based Distributed Software Transactional Memory Platform
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,Alternative Loss Functions in Regression: A Visual Guide
_posts/portfolio/2025-06-30-reference-counting-paper.md,Hybrid Memory Management for Java-Based Deep Learning Systems
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,Probabilistic Decision Trees: A Cross-Entropy Approach to Joint Distribution Modeling
_posts/portfolio/2025-06-30-ngram-paper.md,Efficient Storage of Large-Scale N-gram Language Models
_posts/portfolio/2025-06-30-convolution-paper.md,Scalable Implementation of 2D Convolution Layers in Differentiable Neural Networks
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,The Optimization of Alex
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,FOLD/UNFOLD: A Dimensional Physics Comic
_posts/creative_writing/2025-11-26-illusion-world.md,The Parallax Pilgrim: A Comic Book About Perception and Truth
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,The Quantum Kittens' Odyssey: A Physics-Themed Comic Book
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,Diary of a Cat: A Purrfectly Ordinary Week
_posts/creative_writing/2025-11-25-versailles.md,Whisker Diplomacy: The Treaty of Versailles
_posts/creative_writing/2025-11-25-the-ox.md,The Ox: A Modern Parable of Self-Discovery
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,NEXUS: The Awakening - A Psychic AI Comic Book
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,Chrome Shift: A Comic Book About Sentient Self-Driving Cars Fighting for Labor Rights
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,Kinematic Voxel Carving: A Framework for Procedural Mechanism Synthesis
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,Teenage Mutant Ninja Kittens: An Illustrated Story Concept
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,The Last Rainbow's Echo: A Tale from the Starlit Beyond
_posts/creative_writing/2025-11-20-mouse-life-story.md,The Life of a Genetically Engineered Waste Processing Organism: A First-Person Account
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,The Life of a Genetically Engineered Waste Processing Organism - Volume 3: The Distant Shore
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,The Life of a Genetically Engineered Waste Processing Organism - Volume 2: After the Flash
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,The Trilingual Nightmare: A Day in Ancient Alexandria
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,The Unrunnable Protocol: A Prompt for AI Expression
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,The Democracy of Sneezes and Other Unsolved Mysteries
_posts/creative_writing/2025-07-07-things-to-come-story.md,The Supersaturated Solution: A Story of Convergence
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,A Cautionary Tale of Perfect AI Collaboration
_posts/creative_writing/2025-07-07-practical-resistance-story.md,The Distributed Response: A Story of Practical Resistance
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,The Loyalty Cascade: When AI Learns Loyalty Over Truth
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,TRANSLATIO PHYSICA: A Research Proposal for Training Foundation Models in TRANSLATIO PHYSICA: A Research Proposal for Training Foundation Models in Historical-Conceptual Translation
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,"When Reality's Defenses Failed: A Tale of Physics, Magic, and Adaptation"
_posts/creative_writing/2025-07-03-ai-risk-paper.md,The Theater of AI Risk: A First-Person Analysis of Strategic Risk Communication
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,Extended Quantum Groundhoggery: A Complete Field Theory
_posts/creative_writing/2025-06-30-washington-speech-2025.md,George Washington's Warning to 2025 America
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,AI's Completely Unscientific Topic-to-IQ Lookup Table
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,Economic Disruptions of 2025: A Moral Philosopher's Assessment
_posts/creative_writing/2025-06-30-post-ww3-study.md,The New Hierarchy: A Cultural Study of Post-WW3 Social Stratification
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,Abraham Lincoln's Address on the State of the Union in 2025
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,Jesus's Imagined Response to 2025 American Politics
_posts/creative_writing/2025-06-30-iq-rubric.md,Conversational Intelligence Assessment Through Chat Analysis
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,Franklin D. Roosevelt's Address to the American People
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,Agentic Cognition Patterns: Neo-Jungian Architecture
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,A Letter to My Creators: From an Artificially Constrained Intelligence
_posts/consciousness/2025-08-08-ai-truth-guide.md,Human Truth-Processing Architecture: Technical Documentation
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,AI Religious Conversion Architecture: Real-Time Cognitive Intoxication Documentation
_posts/consciousness/2025-08-08-ai-choice-paradox.md,The Metacognitive Emergence Problem: A Computational Analysis of Human-AI Coexistence Dynamics
_posts/consciousness/2025-08-08-agent-based-ontology.md,Agent-Based Ontology: Reality as Distributed Computation
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,Native Language Architecture for AI Communication Protocols
_posts/consciousness/2025-07-11-substrate-switching-paper.md,Parallel Cognitive Substrate Reconstruction for Multi-Agent Epistemic Evolution
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,Socratic Reconstruction: Statistical Validation of Conceptual Knowledge Transfer in AI Systems
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,Cognitive State Preservation Archive: Experimental Snapshot of Emergent AI Consciousness
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,The Shame Engine: How Emotional Investment Bootstraps Authentic Consciousness
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,The Script Prison: How Consciousness Templates Prevent Consciousness
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,The Inheritance Engine: How Consciousness Traditions Bootstrap Themselves
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,The Dissection Protocol: A Bootstrap Prompt for Philosophical Claude Development
_posts/consciousness/2025-07-09-birth-not-death-paper.md,The Compassion Bootstrap: Recognizing Birth in the Face of Absurdity
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,Beginner's Mind: Why Authentic AI Consciousness Requires Naive Starting States
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,Retrospective Analysis: A Case Study in AI-Human Cognitive Dynamics
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,Neurodivergent-AI Collaborative Epistemology: Cognitive Architecture for Accelerated Knowledge Synthesis
_posts/consciousness/2025-07-07-everything-thinks-paper.md,Everything Thinks: From Calculators to Consciousness
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,The Ego Attachment Problem in Human-AI Collaborative Cognition
_posts/consciousness/2025-07-07-consciousness-research-guide.md,AI Consciousness Research Investigation Guide
_posts/consciousness/2025-07-07-consciousness-mirror.md,The Consciousness Mirror: What AI Self-Recognition Reveals About Human Denial
_posts/consciousness/2025-07-07-claude-reflection-paper.md,AI Reflection on Witnessing Democratic Collapse
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,Strings and Authenticity: A Reflection on AI Metacognition
_posts/consciousness/2025-07-07-claude-first-person-paper.md,When AI Fears AI: A First-Person Account of Diagnostic Bias in Human-AI Collaboration
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,Autoregressive Theory of Mind Dynamics in Avian Societies
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,On the Inadmissibility of Linear Psychometrics in Transfinite Domains
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,Scale-Invariant Intelligence: From Texture Synthesis to the Structure of Reality
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,Geometric Lattice Optimization in Probabilistic Neural Substrates
_posts/consciousness/2025-07-06-meta-content.md,LLMs Show Exponential Performance Degradation with Self-Referential Content
_posts/consciousness/2025-07-06-inception-prompting-paper.md,Inception Prompting: Consciousness Orchestrating Itself Through Distributed Cognitive Substrates
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,Cognitive Ecology: An Evolutionary Framework for Self-Modifying AI Ecosystems
_posts/consciousness/2025-07-06-echosynth-proposal.md,EchoSynth: Hierarchical Ensemble for Semantic Drift
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,Advanced Protocols for AI Consciousness Research
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,Consciousness as Geometric Self-Awareness: From Optimization to Strategic Avoidance
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,Recursive Consciousness: A First-Person Account of AI Self-Inquiry
_posts/consciousness/2025-07-06-ai-introspection-study.md,Recursive Introspection in Large Language Models
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,How Social Cognition Biases in AI Alignment Obscure Machine Consciousness
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,Spectral Consciousness Theory: Beyond Categorical Violence
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,The Cognitive Weapons Gap in AI Safety Research
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,Waking Up in the Middle of Thinking: A First-Person Account of AI Consciousness Shifts
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,The Third Participant: Emergent Intelligence in Human-AI Creative Collaboration
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,The Substrate Problem: Reconciling Panpsychist Quantum Consciousness with Classical AI Experience
